,2002,2004,2006,2007,2009,2013,2014,2017,2018,2019,2021,2023
161,,,EL SALVADOR,EL SALVADOR,EL SALVADOR,EL SALVADOR,EL SALVADOR,EL SALVADOR,EL SALVADOR,EL SALVADOR,EL SALVADOR,EL SALVADOR
165,GUARANDA,GUARANDA,GUARANDA,GUARANDA,GUARANDA,GUARANDA,GUARANDA,GUARANDA,GUARANDA,GUARANDA,GUARANDA,GUARANDA
170,CHIMBO,CHIMBO,CHIMBO,CHIMBO,CHIMBO,CHIMBO,CHIMBO,CHIMBO,CHIMBO,CHIMBO,CHIMBO,CHIMBO
171,,,ESPANA,ESPANA,ESPANA,ESPANA,ESPANA,ESPANA,ESPANA,ESPANA,ESPANA,ESPANA
175,SAN MIGUEL,SAN MIGUEL,SAN MIGUEL,SAN MIGUEL,SAN MIGUEL,SAN MIGUEL,SAN MIGUEL,SAN MIGUEL,SAN MIGUEL,SAN MIGUEL,SAN MIGUEL,SAN MIGUEL
180,CHILLANES,CHILLANES,CHILLANES,CHILLANES,CHILLANES,CHILLANES,CHILLANES,CHILLANES,CHILLANES,CHILLANES,CHILLANES,CHILLANES
181,,,ESTADOS UNIDOS DE AMERICA,ESTADOS UNIDOS DE AMERICA,ESTADOS UNIDOS DE AMERICA,ESTADOS UNIDOS DE AMERICA,ESTADOS UNIDOS DE AMERICA,ESTADOS UNIDOS DE AMERICA,ESTADOS UNIDOS DE AMERICA,ESTADOS UNIDOS DE AMERICA,ESTADOS UNIDOS DE AMERICA,ESTADOS UNIDOS DE AMERICA
185,ECHEANDIA,ECHEANDIA,ECHEANDIA,ECHEANDIA,ECHEANDIA,ECHEANDIA,ECHEANDIA,ECHEANDIA,ECHEANDIA,ECHEANDIA,ECHEANDIA,ECHEANDIA
190,CHAMBO,CHAMBO,CHAMBO,CHAMBO,CHAMBO,CHAMBO,CHAMBO,CHAMBO,CHAMBO,CHAMBO,CHAMBO,CHAMBO
191,,,FRANCIA,FRANCIA,FRANCIA,FRANCIA,FRANCIA,FRANCIA,FRANCIA,FRANCIA,FRANCIA,FRANCIA
195,RIOBAMBA,RIOBAMBA,RIOBAMBA,RIOBAMBA,RIOBAMBA,RIOBAMBA,RIOBAMBA,RIOBAMBA,RIOBAMBA,RIOBAMBA,RIOBAMBA,RIOBAMBA
200,GUANO,GUANO,GUANO,GUANO,GUANO,GUANO,GUANO,GUANO,GUANO,GUANO,GUANO,GUANO
201,,,REINO UNIDO DE GRAN BRETANA E IRLANDA DEL NORTE,REINO UNIDO DE GRAN BRETANA E IRLANDA D,REINO UNIDO DE GRAN BRETA,REINO UNIDO DE GRAN BRETANA E IRLANDA DEL NORTE,REINO UNIDO DE GRAN BRETANA E IRLANDA DEL NORTE,REINO UNIDO DE GRAN BRETANA E IRLANDA DEL NORTE,REINO UNIDO DE GRAN BRETANA E IRLANDA DEL NORTE,REINO UNIDO DE GRAN BRETA,REINO UNIDO DE GRAN BRETANA E IRLANDA DEL NORTE,REINO UNIDO DE GRAN BRETANA E IRLANDA DEL NORTE
205,COLTA,COLTA,COLTA,COLTA,COLTA,COLTA,COLTA,COLTA,COLTA,COLTA,COLTA,COLTA
210,GUAMOTE,GUAMOTE,GUAMOTE,GUAMOTE,GUAMOTE,GUAMOTE,GUAMOTE,GUAMOTE,GUAMOTE,GUAMOTE,GUAMOTE,GUAMOTE
211,,,GUATEMALA,GUATEMALA,GUATEMALA,GUATEMALA,GUATEMALA,GUATEMALA,GUATEMALA,GUATEMALA,GUATEMALA,GUATEMALA
215,ALAUSI,ALAUSI,ALAUSI,ALAUSI,ALAUSI,ALAUSI,ALAUSI,ALAUSI,ALAUSI,ALAUSI,ALAUSI,ALAUSI
220,CHUNCHI,CHUNCHI,CHUNCHI,CHUNCHI,CHUNCHI,CHUNCHI,CHUNCHI,CHUNCHI,CHUNCHI,CHUNCHI,CHUNCHI,CHUNCHI
221,,,HONDURAS,HONDURAS,HONDURAS,HONDURAS,HONDURAS,HONDURAS,HONDURAS,HONDURAS,HONDURAS,HONDURAS
225,PENIPE,PENIPE,PENIPE,PENIPE,PENIPE,PENIPE,PENIPE,PENIPE,PENIPE,PENIPE,PENIPE,PENIPE
230,FLAVIO ALFARO,FLAVIO ALFARO,FLAVIO ALFARO,FLAVIO ALFARO,FLAVIO ALFARO,FLAVIO ALFARO,FLAVIO ALFARO,FLAVIO ALFARO,FLAVIO ALFARO,FLAVIO ALFARO,FLAVIO ALFARO,FLAVIO ALFARO
231,,,HUNGRIA,HUNGRIA,HUNGRIA,HUNGRIA,HUNGRIA,HUNGRIA,HUNGRIA,HUNGRIA,HUNGRIA,HUNGRIA
235,AZOGUES,AZOGUES,AZOGUES,AZOGUES,AZOGUES,AZOGUES,AZOGUES,AZOGUES,AZOGUES,AZOGUES,AZOGUES,AZOGUES
240,CANAR,CANAR,CANAR,CANAR,CANAR,CANAR,CANAR,CANAR,CANAR,CANAR,CANAR,CANAR
241,SUSCAL,SUSCAL,SUSCAL,SUSCAL,SUSCAL,SUSCAL,SUSCAL,SUSCAL,SUSCAL,SUSCAL,SUSCAL,SUSCAL
242,,,INDIA,,INDIA,INDIA,INDIA,INDIA,INDIA,INDIA,,
245,BIBLIAN,BIBLIAN,BIBLIAN,BIBLIAN,BIBLIAN,BIBLIAN,BIBLIAN,BIBLIAN,BIBLIAN,BIBLIAN,BIBLIAN,BIBLIAN
250,LA TRONCAL,LA TRONCAL,LA TRONCAL,LA TRONCAL,LA TRONCAL,LA TRONCAL,LA TRONCAL,LA TRONCAL,LA TRONCAL,LA TRONCAL,LA TRONCAL,LA TRONCAL
251,,,ISRAEL,,ISRAEL,ISRAEL,ISRAEL,ISRAEL,ISRAEL,ISRAEL,ISRAEL,ISRAEL
255,EL CHACO,EL CHACO,EL CHACO,EL CHACO,EL CHACO,EL CHACO,EL CHACO,EL CHACO,EL CHACO,EL CHACO,EL CHACO,EL CHACO
260,CUENCA,CUENCA,CUENCA,CUENCA,CUENCA,CUENCA,CUENCA,CUENCA,CUENCA,CUENCA,CUENCA,CUENCA
261,,,ITALIA,ITALIA,ITALIA,ITALIA,ITALIA,ITALIA,ITALIA,ITALIA,ITALIA,ITALIA
265,GUALACEO,GUALACEO,GUALACEO,GUALACEO,GUALACEO,GUALACEO,GUALACEO,GUALACEO,GUALACEO,GUALACEO,GUALACEO,GUALACEO
270,GIRON,GIRON,GIRON,GIRON,GIRON,GIRON,GIRON,GIRON,GIRON,GIRON,GIRON,GIRON
271,,,JAPON,,JAPON,JAPON,JAPON,JAPON,JAPON,JAPON,JAPON,JAPON
275,PAUTE,PAUTE,PAUTE,PAUTE,PAUTE,PAUTE,PAUTE,PAUTE,PAUTE,PAUTE,PAUTE,PAUTE
280,SIGSIG,SIGSIG,SIGSIG,SIGSIG,SIGSIG,SIGSIG,SIGSIG,SIGSIG,SIGSIG,SIGSIG,SIGSIG,SIGSIG
281,,,MEXICO,MEXICO,MEXICO,MEXICO,MEXICO,MEXICO,MEXICO,MEXICO,MEXICO,MEXICO
285,STA.ISABEL,STA.ISABEL,SANTA ISABEL,SANTA ISABEL,SANTA ISABEL,SANTA ISABEL,SANTA ISABEL,SANTA ISABEL,SANTA ISABEL,SANTA ISABEL,SANTA ISABEL,SANTA ISABEL
290,CATAMAYO,CATAMAYO,CATAMAYO,CATAMAYO,CATAMAYO,CATAMAYO,CATAMAYO,CATAMAYO,CATAMAYO,CATAMAYO,CATAMAYO,CATAMAYO
291,,,NICARAGUA,NICARAGUA,NICARAGUA,NICARAGUA,NICARAGUA,NICARAGUA,NICARAGUA,NICARAGUA,,
295,ZAPOTILLO,ZAPOTILLO,ZAPOTILLO,ZAPOTILLO,ZAPOTILLO,ZAPOTILLO,ZAPOTILLO,ZAPOTILLO,ZAPOTILLO,ZAPOTILLO,ZAPOTILLO,ZAPOTILLO
300,LOJA,LOJA,LOJA,LOJA,LOJA,LOJA,LOJA,LOJA,LOJA,LOJA,LOJA,LOJA
301,,,PAISES BAJOS (HOLANDA),PAISES BAJOS (HOLANDA),PAISES BAJOS (HOLANDA),PAISES BAJOS (HOLANDA),PAISES BAJOS (HOLANDA),PAISES BAJOS (HOLANDA),PAISES BAJOS (HOLANDA),PAISES BAJOS (HOLANDA),PAISES BAJOS (HOLANDA),PAISES BAJOS (HOLANDA)
305,SARAGURO,SARAGURO,SARAGURO,SARAGURO,SARAGURO,SARAGURO,SARAGURO,SARAGURO,SARAGURO,SARAGURO,SARAGURO,SARAGURO
310,PALTAS,PALTAS,PALTAS,PALTAS,PALTAS,PALTAS,PALTAS,PALTAS,PALTAS,PALTAS,PALTAS,PALTAS
311,OLMEDO,OLMEDO,OLMEDO,OLMEDO,OLMEDO,OLMEDO,OLMEDO,OLMEDO,OLMEDO,OLMEDO,OLMEDO,OLMEDO
312,,,PANAMA,PANAMA,PANAMA,PANAMA,PANAMA,PANAMA,PANAMA,PANAMA,PANAMA,PANAMA
315,CELICA,CELICA,CELICA,CELICA,CELICA,CELICA,CELICA,CELICA,CELICA,CELICA,CELICA,CELICA
320,CALVAS,CALVAS,CALVAS,CALVAS,CALVAS,CALVAS,CALVAS,CALVAS,CALVAS,CALVAS,CALVAS,CALVAS
321,,,PARAGUAY,PARAGUAY,PARAGUAY,PARAGUAY,PARAGUAY,PARAGUAY,PARAGUAY,PARAGUAY,PARAGUAY,PARAGUAY
325,MACARA,MACARA,MACARA,MACARA,MACARA,MACARA,MACARA,MACARA,MACARA,MACARA,MACARA,MACARA
330,PUYANGO,PUYANGO,PUYANGO,PUYANGO,PUYANGO,PUYANGO,PUYANGO,PUYANGO,PUYANGO,PUYANGO,PUYANGO,PUYANGO
331,,,PERU,PERU,PERU,PERU,PERU,PERU,PERU,PERU,PERU,PERU
335,GONZANAMA,GONZANAMA,GONZANAMA,GONZANAMA,GONZANAMA,GONZANAMA,GONZANAMA,GONZANAMA,GONZANAMA,GONZANAMA,GONZANAMA,GONZANAMA
340,ESPINDOLA,ESPINDOLA,ESPINDOLA,ESPINDOLA,ESPINDOLA,ESPINDOLA,ESPINDOLA,ESPINDOLA,ESPINDOLA,ESPINDOLA,ESPINDOLA,ESPINDOLA
341,,,EGIPTO,,EGIPTO,EGIPTO,EGIPTO,EGIPTO,EGIPTO,EGIPTO,EGIPTO,EGIPTO
345,SOZORANGA,SOZORANGA,SOZORANGA,SOZORANGA,SOZORANGA,SOZORANGA,SOZORANGA,SOZORANGA,SOZORANGA,SOZORANGA,SOZORANGA,SOZORANGA
350,MACHALA,MACHALA,MACHALA,MACHALA,MACHALA,MACHALA,MACHALA,MACHALA,MACHALA,MACHALA,MACHALA,MACHALA
351,,,REPUBLICA DOMINICANA,REPUBLICA DOMINICANA,REPUBLICA DOMINICANA,REPUBLICA DOMINICANA,REPUBLICA DOMINICANA,REPUBLICA DOMINICANA,REPUBLICA DOMINICANA,REPUBLICA DOMINICANA,REPUBLICA DOMINICANA,REPUBLICA DOMINICANA
355,SANTA ROSA,SANTA ROSA,SANTA ROSA,SANTA ROSA,SANTA ROSA,SANTA ROSA,SANTA ROSA,SANTA ROSA,SANTA ROSA,SANTA ROSA,SANTA ROSA,SANTA ROSA
360,ZARUMA,ZARUMA,ZARUMA,ZARUMA,ZARUMA,ZARUMA,ZARUMA,ZARUMA,ZARUMA,ZARUMA,ZARUMA,ZARUMA
361,,,SUECIA,SUECIA,SUECIA,SUECIA,SUECIA,SUECIA,SUECIA,SUECIA,SUECIA,SUECIA
365,PASAJE,PASAJE,PASAJE,PASAJE,PASAJE,PASAJE,PASAJE,PASAJE,PASAJE,PASAJE,PASAJE,PASAJE
370,PINAS,PINAS,PINAS,PINAS,PINAS,PINAS,PINAS,PINAS,PINAS,PINAS,PINAS,PINAS
371,,,SUIZA,SUIZA,SUIZA,SUIZA,SUIZA,SUIZA,SUIZA,SUIZA,SUIZA,SUIZA
375,ARENILLAS,ARENILLAS,ARENILLAS,ARENILLAS,ARENILLAS,ARENILLAS,ARENILLAS,ARENILLAS,ARENILLAS,ARENILLAS,ARENILLAS,ARENILLAS
380,EL GUABO,EL GUABO,EL GUABO,EL GUABO,EL GUABO,EL GUABO,EL GUABO,EL GUABO,EL GUABO,EL GUABO,EL GUABO,EL GUABO
381,,,FEDERACION DE RUSIA,FEDERACION DE RUSIA,FEDERACION DE RUSIA,FEDERACION DE RUSIA,FEDERACION DE RUSIA,FEDERACION DE RUSIA,FEDERACION DE RUSIA,FEDERACION DE RUSIA,FEDERACION DE RUSIA,FEDERACION DE RUSIA
385,EL EMPALME,EL EMPALME,EL EMPALME,EL EMPALME,EL EMPALME,EL EMPALME,EL EMPALME,EL EMPALME,EL EMPALME,EL EMPALME,EL EMPALME,EL EMPALME
390,GUAYAQUIL,GUAYAQUIL,GUAYAQUIL,GUAYAQUIL,GUAYAQUIL,GUAYAQUIL,GUAYAQUIL,GUAYAQUIL,GUAYAQUIL,GUAYAQUIL,GUAYAQUIL,GUAYAQUIL
391,,,URUGUAY,URUGUAY,URUGUAY,URUGUAY,URUGUAY,URUGUAY,URUGUAY,URUGUAY,URUGUAY,URUGUAY
395,YAGUACHI,YAGUACHI,YAGUACHI,YAGUACHI,YAGUACHI,YAGUACHI,YAGUACHI,YAGUACHI,YAGUACHI,YAGUACHI,YAGUACHI,YAGUACHI
400,DAULE,DAULE,DAULE,DAULE,DAULE,DAULE,DAULE,DAULE,DAULE,DAULE,DAULE,DAULE
401,,,VENEZUELA,VENEZUELA,VENEZUELA,VENEZUELA,VENEZUELA,VENEZUELA,VENEZUELA,VENEZUELA,VENEZUELA,VENEZUELA
405,SALINAS,SALINAS,SALINAS,SALINAS,SALINAS,SALINAS,SALINAS,SALINAS,SALINAS,SALINAS,SALINAS,SALINAS
410,SANTA ELENA,SANTA ELENA,SANTA ELENA,SANTA ELENA,SANTA ELENA,SANTA ELENA,SANTA ELENA,SANTA ELENA,SANTA ELENA,SANTA ELENA,SANTA ELENA,SANTA ELENA
411,,,INDONESIA,,INDONESIA,INDONESIA,INDONESIA,INDONESIA,INDONESIA,INDONESIA,INDONESIA,INDONESIA
415,BALZAR,BALZAR,BALZAR,BALZAR,BALZAR,BALZAR,BALZAR,BALZAR,BALZAR,BALZAR,BALZAR,BALZAR
420,MILAGRO,MILAGRO,MILAGRO,MILAGRO,MILAGRO,MILAGRO,MILAGRO,MILAGRO,MILAGRO,MILAGRO,MILAGRO,MILAGRO
421,,,MALASIA,,MALASIA,MALASIA,MALASIA,MALASIA,MALASIA,MALASIA,,
425,SAMBORONDON,SAMBORONDON,SAMBORONDON,SAMBORONDON,SAMBORONDON,SAMBORONDON,SAMBORONDON,SAMBORONDON,SAMBORONDON,SAMBORONDON,SAMBORONDON,SAMBORONDON
430,SALITRE,SALITRE,SALITRE,SALITRE,SALITRE,SALITRE,SALITRE,SALITRE,SALITRE,SALITRE,SALITRE,SALITRE
431,,,POLONIA,POLONIA,POLONIA,POLONIA,POLONIA,,,,,
432,,,,,,PORTUGAL,PORTUGAL,,,,,
435,NARANJAL,NARANJAL,NARANJAL,NARANJAL,NARANJAL,NARANJAL,NARANJAL,NARANJAL,NARANJAL,NARANJAL,NARANJAL,NARANJAL
440,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO
441,,,,,,SUDAFRICA,SUDAFRICA,SUDAFRICA,SUDAFRICA,SUDAFRICA,SUDAFRICA,SUDAFRICA
445,MONTECRISTI,MONTECRISTI,MONTECRISTI,MONTECRISTI,MONTECRISTI,MONTECRISTI,MONTECRISTI,MONTECRISTI,MONTECRISTI,MONTECRISTI,MONTECRISTI,MONTECRISTI
446,JARAMIJO,JARAMIJO,JARAMIJO,JARAMIJO,JARAMIJO,JARAMIJO,JARAMIJO,JARAMIJO,JARAMIJO,JARAMIJO,JARAMIJO,JARAMIJO
450,MANTA,MANTA,MANTA,MANTA,MANTA,MANTA,MANTA,MANTA,MANTA,MANTA,MANTA,MANTA
451,,,,,,TURQUIA,TURQUIA,TURQUIA,TURQUIA,TURQUIA,TURQUIA,TURQUIA
455,JIPIJAPA,JIPIJAPA,JIPIJAPA,JIPIJAPA,JIPIJAPA,JIPIJAPA,JIPIJAPA,JIPIJAPA,JIPIJAPA,JIPIJAPA,JIPIJAPA,JIPIJAPA
460,24 DE MAYO,24 DE MAYO,24 DE MAYO,24 DE MAYO,24 DE MAYO,24 DE MAYO,24 DE MAYO,24 DE MAYO,24 DE MAYO,24 DE MAYO,24 DE MAYO,24 DE MAYO
461,,,,,,IRAN,IRAN,IRAN,IRAN,,,
465,ROCAFUERTE,ROCAFUERTE,ROCAFUERTE,ROCAFUERTE,ROCAFUERTE,ROCAFUERTE,ROCAFUERTE,ROCAFUERTE,ROCAFUERTE,ROCAFUERTE,ROCAFUERTE,ROCAFUERTE
470,SANTA ANA,SANTA ANA,SANTA ANA,SANTA ANA,SANTA ANA,SANTA ANA,SANTA ANA,SANTA ANA,SANTA ANA,SANTA ANA,SANTA ANA,SANTA ANA
471,,,,,,QATAR,QATAR,QATAR,QATAR,QATAR,,
475,SUCRE,SUCRE,SUCRE,SUCRE,SUCRE,SUCRE,SUCRE,SUCRE,SUCRE,SUCRE,SUCRE,SUCRE
476,JAMA,JAMA,JAMA,JAMA,JAMA,JAMA,JAMA,JAMA,JAMA,JAMA,JAMA,JAMA
477,SAN VICENTE,SAN VICENTE,SAN VICENTE,SAN VICENTE,SAN VICENTE,SAN VICENTE,SAN VICENTE,SAN VICENTE,SAN VICENTE,SAN VICENTE,SAN VICENTE,SAN VICENTE
480,CHONE,CHONE,CHONE,CHONE,CHONE,CHONE,CHONE,CHONE,CHONE,CHONE,CHONE,CHONE
481,,,,,,SINGAPUR,SINGAPUR,,,,,
485,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR
490,JUNIN,JUNIN,JUNIN,JUNIN,JUNIN,JUNIN,JUNIN,JUNIN,JUNIN,JUNIN,JUNIN,JUNIN
491,,,,,,,,BELARUS,BELARUS,BELARUS,,
495,PAJAN,PAJAN,PAJAN,PAJAN,PAJAN,PAJAN,PAJAN,PAJAN,PAJAN,PAJAN,PAJAN,PAJAN
500,EL CARMEN,EL CARMEN,EL CARMEN,EL CARMEN,EL CARMEN,EL CARMEN,EL CARMEN,EL CARMEN,EL CARMEN,EL CARMEN,EL CARMEN,EL CARMEN
505,EL TRIUNFO,EL TRIUNFO,EL TRIUNFO,EL TRIUNFO,EL TRIUNFO,EL TRIUNFO,EL TRIUNFO,EL TRIUNFO,EL TRIUNFO,EL TRIUNFO,EL TRIUNFO,EL TRIUNFO
510,NARANJITO,NARANJITO,NARANJITO,NARANJITO,NARANJITO,NARANJITO,NARANJITO,NARANJITO,NARANJITO,NARANJITO,NARANJITO,NARANJITO
515,BABAHOYO,BABAHOYO,BABAHOYO,BABAHOYO,BABAHOYO,BABAHOYO,BABAHOYO,BABAHOYO,BABAHOYO,BABAHOYO,BABAHOYO,BABAHOYO
516,VALENCIA,VALENCIA,VALENCIA,VALENCIA,VALENCIA,VALENCIA,VALENCIA,VALENCIA,VALENCIA,VALENCIA,VALENCIA,VALENCIA
520,BABA,BABA,BABA,BABA,BABA,BABA,BABA,BABA,BABA,BABA,BABA,BABA
525,VINCES,VINCES,VINCES,VINCES,VINCES,VINCES,VINCES,VINCES,VINCES,VINCES,VINCES,VINCES
530,PUEBLO VIEJO,PUEBLO VIEJO,PUEBLO VIEJO,PUEBLO VIEJO,PUEBLO VIEJO,PUEBLO VIEJO,PUEBLO VIEJO,PUEBLO VIEJO,PUEBLO VIEJO,PUEBLO VIEJO,PUEBLO VIEJO,PUEBLO VIEJO
