,2002,2004,2006,2007,2009,2013,2014,2017,2018,2019,2021,2023
55,ALOAG,ALOAG,ALOAG,ALOAG,ALOAG,ALOAG,ALOAG,ALOAG,ALOAG,ALOAG,ALOAG,ALOAG
60,ALOASI,ALOASI,ALOASI,ALOASI,ALOASI,ALOASI,ALOASI,ALOASI,ALOASI,ALOASI,ALOASI,ALOASI
65,ALSHI/9 DE OCTUBRE,ALSHI/9 DE OCTUBRE,ALSHI /9 DE OCTUBRE,ALSHI /9 DE OCTUBRE,ALSHI /9 DE OCTUBRE,ALSHI /9 DE OCTUBRE,ALSHI /9 DE OCTUBRE,ALSHI /9 DE OCTUBRE,ALSHI /9 DE OCTUBRE,ALSHI /9 DE OCTUBRE,ALSHI /9 DE OCTUBRE,ALSHI /9 DE OCTUBRE
70,ALTO TAMBO/GUADAL,ALTO TAMBO/GUADAL,ALTO TAMBO/GUADAL,ALTO TAMBO/GUADAL,ALTO TAMBO/GUADAL,ALTO TAMBO/GUADAL,ALTO TAMBO/GUADAL,ALTO TAMBO/GUADAL,ALTO TAMBO/GUADAL,ALTO TAMBO/GUADAL,ALTO TAMBO/GUADAL,ALTO TAMBO/GUADAL
75,ALLURIQUIN,ALLURIQUIN,ALLURIQUIN,ALLURIQUIN,ALLURIQUIN,ALLURIQUIN,ALLURIQUIN,ALLURIQUIN,ALLURIQUIN,ALLURIQUIN,ALLURIQUIN,ALLURIQUIN
80,AMAGUANA,AMAGUANA,AMAGUANA,AMAGUANA,AMAGUANA,AMAGUANA,AMAGUANA,AMAGUANA,AMAGUANA,AMAGUANA,AMAGUANA,AMAGUANA
85,AMALUZA,AMALUZA,AMALUZA,AMALUZA,AMALUZA,AMALUZA,AMALUZA,AMALUZA,AMALUZA,AMALUZA,AMALUZA,AMALUZA
90,AMAZONAS,AMAZONAS,AMAZONAS,AMAZONAS,AMAZONAS,AMAZONAS,AMAZONAS,AMAZONAS,AMAZONAS,AMAZONAS,AMAZONAS,AMAZONAS
95,AMBATILLO,AMBATILLO,AMBATILLO,AMBATILLO,AMBATILLO,AMBATILLO,AMBATILLO,AMBATILLO,AMBATILLO,AMBATILLO,AMBATILLO,AMBATILLO
100,AMBUQUI/CHOTA,AMBUQUI/CHOTA,AMBUQUI/CHOTA,AMBUQUI/CHOTA,AMBUQUI/CHOTA,AMBUQUI/CHOTA,AMBUQUI/CHOTA,AMBUQUI/CHOTA,AMBUQUI/CHOTA,AMBUQUI/CHOTA,AMBUQUI/CHOTA,AMBUQUI/CHOTA
105,AMERICA/LA CERA,AMERICA/LA CERA,AMERICA /LA CERA,AMERICA /LA CERA,AMERICA /LA CERA,AMERICA /LA CERA,AMERICA /LA CERA,AMERICA /LA CERA,AMERICA /LA CERA,AMERICA /LA CERA,AMERICA /LA CERA,AMERICA /LA CERA
110,ANCON/PALMA REAL,ANCON/PALMA REAL,ANCON/PALMA REAL,ANCON/PALMA REAL,ANCON/PALMA REAL,ANCON/PALMA REAL,ANCON/PALMA REAL,ANCON/PALMA REAL,ANCON/PALMA REAL,ANCON/PALMA REAL,ANCON/PALMA REAL,ANCON/PALMA REAL
115,ANCONCITO,ANCONCITO,ANCONCITO,ANCONCITO,ANCONCITO,ANCONCITO,ANCONCITO,ANCONCITO,ANCONCITO,ANCONCITO,ANCONCITO,ANCONCITO
120,ANCHAYACU,ANCHAYACU,ANCHAYACU,ANCHAYACU,ANCHAYACU,ANCHAYACU,ANCHAYACU,ANCHAYACU,ANCHAYACU,ANCHAYACU,ANCHAYACU,ANCHAYACU
125,ANGAMARCA,ANGAMARCA,ANGAMARCA,ANGAMARCA,ANGAMARCA,ANGAMARCA,ANGAMARCA,ANGAMARCA,ANGAMARCA,ANGAMARCA,ANGAMARCA,ANGAMARCA
130,ANGOCHAGUA,ANGOCHAGUA,ANGOCHAGUA,ANGOCHAGUA,ANGOCHAGUA,ANGOCHAGUA,ANGOCHAGUA,ANGOCHAGUA,ANGOCHAGUA,ANGOCHAGUA,ANGOCHAGUA,ANGOCHAGUA
135,ANTONIO J. HOLGUIN,ANTONIO J. HOLGUIN,ANTONIO J. HOLGUIN,ANTONIO J. HOLGUIN,ANTONIO J. HOLGUIN,ANTONIO J. HOLGUIN,ANTONIO J. HOLGUIN,ANTONIO J. HOLGUIN,ANTONIO J. HOLGUIN,ANTONIO J. HOLGUIN,ANTONIO J. HOLGUIN,ANTONIO J. HOLGUIN
140,ANTONIO SOTOMAYOR,ANTONIO SOTOMAYOR,ANTONIO SOTOMAYOR,ANTONIO SOTOMAYOR,ANTONIO SOTOMAYOR,ANTONIO SOTOMAYOR,ANTONIO SOTOMAYOR,ANTONIO SOTOMAYOR,ANTONIO SOTOMAYOR,ANTONIO SOTOMAYOR,ANTONIO SOTOMAYOR,ANTONIO SOTOMAYOR
145,APUELA,APUELA,APUELA,APUELA,APUELA,APUELA,APUELA,APUELA,APUELA,APUELA,APUELA,APUELA
150,PATRICIA PILAR,PATRICIA PILAR,PATRICIA PILAR,PATRICIA PILAR,PATRICIA PILAR,PATRICIA PILAR,PATRICIA PILAR,PATRICIA PILAR,PATRICIA PILAR,PATRICIA PILAR,PATRICIA PILAR,PATRICIA PILAR
155,ARAPICOS,ARAPICOS,ARAPICOS,ARAPICOS,ARAPICOS,ARAPICOS,ARAPICOS,ARAPICOS,ARAPICOS,ARAPICOS,ARAPICOS,ARAPICOS
160,EL INGENIO,EL INGENIO,EL INGENIO,EL INGENIO,EL INGENIO,EL INGENIO,EL INGENIO,EL INGENIO,EL INGENIO,EL INGENIO,EL INGENIO,EL INGENIO
165,ASCAZUBI,ASCAZUBI,ASCAZUBI,ASCAZUBI,ASCAZUBI,ASCAZUBI,ASCAZUBI,ASCAZUBI,ASCAZUBI,ASCAZUBI,ASCAZUBI,ASCAZUBI
170,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION
175,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION
180,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION,ASUNCION
185,VALLE DE LA VIRGEN,VALLE DE LA VIRGEN,VALLE DE LA VIRGEN,VALLE DE LA VIRGEN,VALLE DE LA VIRGEN,VALLE DE LA VIRGEN,VALLE DE LA VIRGEN,VALLE DE LA VIRGEN,VALLE DE LA VIRGEN,VALLE DE LA VIRGEN,VALLE DE LA VIRGEN,VALLE DE LA VIRGEN
190,ATAHUALPA/CHIPZALA,ATAHUALPA/CHIPZALA,ATAHUALPA /CHIPZALATA,ATAHUALPA /CHIPZALATA,ATAHUALPA /CHIPZALATA,ATAHUALPA /CHIPZALATA,ATAHUALPA /CHIPZALATA,ATAHUALPA /CHIPZALATA,ATAHUALPA /CHIPZALATA,ATAHUALPA /CHIPZALATA,ATAHUALPA /CHIPZALATA,ATAHUALPA /CHIPZALATA
195,ATAHUALPA/HABASPAM,ATAHUALPA/HABASPAM,ATAHUALPA /HABASPAMBA,ATAHUALPA /HABASPAMBA,ATAHUALPA /HABASPAMBA,ATAHUALPA /HABASPAMBA,ATAHUALPA /HABASPAMBA,ATAHUALPA /HABASPAMBA,ATAHUALPA /HABASPAMBA,ATAHUALPA /HABASPAMBA,ATAHUALPA /HABASPAMBA,ATAHUALPA /HABASPAMBA
200,ATAHUALPA/CAMARONE,ATAHUALPA/CAMARONE,ATAHUALPA/CAMARONES,ATAHUALPA/CAMARONES,ATAHUALPA/CAMARONES,ATAHUALPA/CAMARONES,ATAHUALPA/CAMARONES,ATAHUALPA/CAMARONES,ATAHUALPA/CAMARONES,ATAHUALPA/CAMARONES,ATAHUALPA/CAMARONES,ATAHUALPA/CAMARONES
205,ATAHUALPA,ATAHUALPA,ATAHUALPA,ATAHUALPA,ATAHUALPA,ATAHUALPA,ATAHUALPA,ATAHUALPA,ATAHUALPA,ATAHUALPA,ATAHUALPA,ATAHUALPA
210,AUGUSTO N MARTINEZ,AUGUSTO N MARTINEZ,AUGUSTO N MARTINEZ,AUGUSTO N MARTINEZ,AUGUSTO N MARTINEZ,AUGUSTO N MARTINEZ,AUGUSTO N MARTINEZ,AUGUSTO N. MARTINEZ,AUGUSTO N MARTINEZ,AUGUSTO N MARTINEZ,AUGUSTO N MARTINEZ,AUGUSTO N MARTINEZ
215,AVILA,AVILA,AVILA,AVILA,AVILA,AVILA,AVILA,AVILA,AVILA,AVILA,AVILA,AVILA
220,AYACUCHO,AYACUCHO,AYACUCHO,AYACUCHO,AYACUCHO,AYACUCHO,AYACUCHO,AYACUCHO,AYACUCHO,AYACUCHO,AYACUCHO,AYACUCHO
225,AYAPAMBA,AYAPAMBA,AYAPAMBA,AYAPAMBA,AYAPAMBA,AYAPAMBA,AYAPAMBA,AYAPAMBA,AYAPAMBA,AYAPAMBA,AYAPAMBA,AYAPAMBA
230,EL REVENTADOR,EL REVENTADOR,EL REVENTADOR,EL REVENTADOR,EL REVENTADOR,EL REVENTADOR,EL REVENTADOR,EL REVENTADOR,EL REVENTADOR,EL REVENTADOR,EL REVENTADOR,EL REVENTADOR
235,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLA VISTA,BELLA VISTA,BELLA VISTA,BELLA VISTA,BELLA VISTA,BELLA VISTA,BELLA VISTA,BELLA VISTA,BELLA VISTA
240,MEMBRILLO,MEMBRILLO,MEMBRILLO,MEMBRILLO,MEMBRILLO,MEMBRILLO,MEMBRILLO,MEMBRILLO,MEMBRILLO,MEMBRILLO,MEMBRILLO,MEMBRILLO
245,LA IBERIA,LA IBERIA,LA IBERIA,LA IBERIA,LA IBERIA,LA IBERIA,LA IBERIA,LA IBERIA,LA IBERIA,LA IBERIA,LA IBERIA,LA IBERIA
250,PIARTAL,PIARTAL,PIARTAL,PIARTAL,PIARTAL,PIARTAL,PIARTAL,PIARTAL,PIARTAL,PIARTAL,PIARTAL,PIARTAL
255,EL RETIRO,EL RETIRO,EL RETIRO,EL RETIRO,EL RETIRO,EL RETIRO,EL RETIRO,EL RETIRO,EL RETIRO,EL RETIRO,EL RETIRO,EL RETIRO
260,LIMONAL,LIMONAL,LIMONAL,LIMONAL,LIMONAL,LIMONAL,LIMONAL,LIMONAL,LIMONAL,LIMONAL,LIMONAL,LIMONAL
265,BACHILLERO,BACHILLERO,BACHILLERO,BACHILLERO,BACHILLERO,BACHILLERO,BACHILLERO,BACHILLERO,BACHILLERO,BACHILLERO,BACHILLERO,BACHILLERO
270,EL ARENAL,EL ARENAL,EL ARENAL,EL ARENAL,EL ARENAL,EL ARENAL,EL ARENAL,EL ARENAL,EL ARENAL,EL ARENAL,EL ARENAL,EL ARENAL
275,BALZAPAMBA,BALZAPAMBA,BALZAPAMBA,BALZAPAMBA,BALZAPAMBA,BALZAPAMBA,BALZAPAMBA,BALZAPAMBA,BALZAPAMBA,BALZAPAMBA,BALZAPAMBA,BALZAPAMBA
280,LIMONES,LIMONES,LIMONES,LIMONES,LIMONES,LIMONES,LIMONES,LIMONES,LIMONES,LIMONES,LIMONES,LIMONES
285,BANOS,BANOS,BANOS,BANOS,BANOS,BANOS,BANOS,BANOS,BANOS,BANOS,BANOS,BANOS
290,GARZAREAL,GARZAREAL,GARZAREAL,GARZAREAL,GARZAREAL,GARZAREAL,GARZAREAL,GARZAREAL,GARZAREAL,GARZAREAL,GARZAREAL,GARZAREAL
295,BAQUERIZO MORENO,BAQUERIZO MORENO,BAQUERIZO MORENO,BAQUERIZO MORENO,BAQUERIZO MORENO,BAQUERIZO MORENO,BAQUERIZO MORENO,BAQUERIZO MORENO,BAQUERIZO MORENO,BAQUERIZO MORENO,BAQUERIZO MORENO,BAQUERIZO MORENO
300,BARBONES,BARBONES,BARBONES,BARBONES,BARBONES,BARBONES,BARBONES,BARBONES,BARBONES,BARBONES,BARBONES,BARBONES
305,VALLE HERMOSO,VALLE HERMOSO,VALLE HERMOSO,VALLE HERMOSO,VALLE HERMOSO,VALLE HERMOSO,VALLE HERMOSO,VALLE HERMOSO,VALLE HERMOSO,VALLE HERMOSO,VALLE HERMOSO,VALLE HERMOSO
310,SUMAIPAMBA,SUMAIPAMBA,SUMAYPAMBA,SUMAYPAMBA,SUMAYPAMBA,SUMAYPAMBA,SUMAYPAMBA,SUMAYPAMBA,SUMAYPAMBA,SUMAYPAMBA,SUMAYPAMBA,SUMAYPAMBA
315,BELISARIO QUEVEDO,BELISARIO QUEVEDO,BELISARIO QUEVEDO,BELISARIO QUEVEDO,BELISARIO QUEVEDO,BELISARIO QUEVEDO,BELISARIO QUEVEDO,BELISARIO QUEVEDO,BELISARIO QUEVEDO,BELISARIO QUEVEDO,BELISARIO QUEVEDO,BELISARIO QUEVEDO
320,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA
325,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA
330,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA
335,BENITEZ/PACHANLICA,BENITEZ/PACHANLICA,BENITEZ /PACHANLICA,BENITEZ /PACHANLICA,BENITEZ /PACHANLICA,BENITEZ /PACHANLICA,BENITEZ /PACHANLICA,BENITEZ /PACHANLICA,BENITEZ /PACHANLICA,BENITEZ /PACHANLICA,BENITEZ /PACHANLICA,BENITEZ /PACHANLICA
340,BERMEJOS,BERMEJOS,BERMEJOS,BERMEJOS,BERMEJOS,BERMEJOS,BERMEJOS,BERMEJOS,BERMEJOS,BERMEJOS,BERMEJOS,BERMEJOS
345,BILOVAN,BILOVAN,BILOVAN,BILOVAN,BILOVAN,BILOVAN,BILOVAN,BILOVAN,BILOVAN,BILOVAN,BILOVAN,BILOVAN
350,BOMBOIZA,BOMBOIZA,BOMBOIZA,BOMBOIZA,BOMBOIZA,BOMBOIZA,BOMBOIZA,BOMBOIZA,BOMBOIZA,BOMBOIZA,BOMBOIZA,BOMBOIZA
355,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR
360,FUNDOCHAMBA,FUNDOCHAMBA,FUNDOCHAMBA,FUNDOCHAMBA,FUNDOCHAMBA,FUNDOCHAMBA,FUNDOCHAMBA,FUNDOCHAMBA,FUNDOCHAMBA,FUNDOCHAMBA,FUNDOCHAMBA,FUNDOCHAMBA
365,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR
370,BORBON,BORBON,BORBON,BORBON,BORBON,BORBON,BORBON,BORBON,BORBON,BORBON,BORBON,BORBON
375,SAN JUAN DE CERRO AZUL,SAN JUAN DE CERRO AZUL,SAN JUAN DE CERRO AZUL,SAN JUAN DE CERRO AZUL,SAN JUAN DE CERRO AZUL,SAN JUAN DE CERRO AZUL,SAN JUAN DE CERRO AZUL,SAN JUAN DE CERRO AZUL,SAN JUAN DE CERRO AZUL,SAN JUAN DE CERRO AZUL,SAN JUAN DE CERRO AZUL,SAN JUAN DE CERRO AZUL
380,BOYACA,BOYACA,BOYACA,BOYACA,BOYACA,BOYACA,BOYACA,BOYACA,BOYACA,BOYACA,BOYACA,BOYACA
385,BUENAVISTA,BUENAVISTA,BUENAVISTA,BUENAVISTA,BUENAVISTA,BUENAVISTA,BUENAVISTA,BUENAVISTA,BUENAVISTA,BUENAVISTA,BUENAVISTA,BUENAVISTA
390,BUENAVISTA,BUENAVISTA,BUENAVISTA,BUENAVISTA,BUENAVISTA,BUENAVISTA,BUENAVISTA,BUENAVISTA,BUENAVISTA,BUENAVISTA,BUENAVISTA,BUENAVISTA
395,BULAN/JV.IZQUIERDO,BULAN/JV.IZQUIERDO,BULAN/JVICTOR IZQUIERDO,BULAN / J. VICTOR IZQUIERDO,BULAN / J. VICTOR IZQUIERDO,BULAN / J. VICTOR IZQUIERDO,BULAN / J. VICTOR IZQUIERDO,BULAN / J. VICTOR IZQUIERDO,BULAN / J. VICTOR IZQUIERDO,BULAN / J. VICTOR IZQUIERD,BULAN / J. VICTOR IZQUIERDO,BULAN / J. VICTOR IZQUIERDO
400,SAN VICENTE DE HUATICOCHA,SAN VICENTE DE HUATICOCHA,SAN VICENTE DE HUATICOCHA,SAN VICENTE DE HUATICOCHA,SAN VICENTE DE HUATICOCHA,SAN VICENTE DE HUATICOCHA,SAN VICENTE DE HUATICOCHA,SAN VICENTE DE HUATICOCHA,SAN VICENTE DE HUATICOCHA,SAN VICENTE DE HUATICOCHA,SAN VICENTE DE HUATICOCHA,SAN VICENTE DE HUATICOCHA
405,CHIBUNGA,CHIBUNGA,CHIBUNGA,CHIBUNGA,CHIBUNGA,CHIBUNGA,CHIBUNGA,CHIBUNGA,CHIBUNGA,CHIBUNGA,CHIBUNGA,CHIBUNGA
410,VALPARAISO,VALPARAISO,VALPARAISO,VALPARAISO,VALPARAISO,VALPARAISO,VALPARAISO,VALPARAISO,VALPARAISO,VALPARAISO,VALPARAISO,VALPARAISO
415,SAN CARLOS,SAN CARLOS,SAN CARLOS,SAN CARLOS,SAN CARLOS,SAN CARLOS,SAN CARLOS,SAN CARLOS,SAN CARLOS,SAN CARLOS,SAN CARLOS,SAN CARLOS
420,CACHA,CACHA,CACHA,CACHA,CACHA,CACHA,CACHA,CACHA,CACHA,CACHA,CACHA,CACHA
425,CAHUASQUI,CAHUASQUI,CAHUASQUI,CAHUASQUI,CAHUASQUI,CAHUASQUI,CAHUASQUI,CAHUASQUI,CAHUASQUI,CAHUASQUI,CAHUASQUI,CAHUASQUI
430,CALACALI,CALACALI,CALACALI,CALACALI,CALACALI,CALACALI,CALACALI,CALACALI,CALACALI,CALACALI,CALACALI,CALACALI
435,CALDERON,CALDERON,CALDERON,CALDERON,CALDERON,CALDERON,CALDERON,CALDERON,CALDERON,CALDERON,CALDERON,CALDERON
440,CALDERON,CALDERON,CALDERON,CALDERON,CALDERON,CALDERON,CALDERON,CALDERON,CALDERON,CALDERON,CALDERON,CALDERON
445,CALPI,CALPI,CALPI,CALPI,CALPI,CALPI,CALPI,CALPI,CALPI,CALPI,CALPI,CALPI
450,CAMARONES,CAMARONES,CAMARONES,CAMARONES,CAMARONES,CAMARONES,CAMARONES,CAMARONES,CAMARONES,CAMARONES,CAMARONES,CAMARONES
455,,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA,BELLAVISTA
460,CAMPOZANO,CAMPOZANO,CAMPOZANO,CAMPOZANO,CAMPOZANO,CAMPOZANO,CAMPOZANO,CAMPOZANO,CAMPOZANO,CAMPOZANO,CAMPOZANO,CAMPOZANO
465,CANCHAGUA,CANCHAGUA,CANCHAGUA,CANCHAGUA,CANCHAGUA,CANCHAGUA,CANCHAGUA,CANCHAGUA,CANCHAGUA,CANCHAGUA,CANCHAGUA,CANCHAGUA
470,CANOA,CANOA,CANOA,CANOA,CANOA,CANOA,CANOA,CANOA,CANOA,CANOA,CANOA,CANOA
475,CANELOS,CANELOS,CANELOS,CANELOS,CANELOS,CANELOS,CANELOS,CANELOS,CANELOS,CANELOS,CANELOS,CANELOS
480,CANGAHUA,CANGAHUA,CANGAHUA,CANGAHUA,CANGAHUA,CANGAHUA,CANGAHUA,CANGAHUA,CANGAHUA,CANGAHUA,CANGAHUA,CANGAHUA
485,CANGONAMA,CANGONAMA,CANGONAMA,CANGONAMA,CANGONAMA,CANGONAMA,CANGONAMA,CANGONAMA,CANGONAMA,CANGONAMA,CANGONAMA,CANGONAMA
490,ENOKANQUI,ENOKANQUI,ENOKANQUI,ENOKANQUI,ENOKANQUI,ENOKANQUI,ENOKANQUI,ENOKANQUI,ENOKANQUI,ENOKANQUI,ENOKANQUI,ENOKANQUI
495,CANUTO,CANUTO,CANUTO,CANUTO,CANUTO,CANUTO,CANUTO,CANUTO,CANUTO,CANUTO,CANUTO,CANUTO
500,CANI,CANI,CANI,CANI,CANI,CANI,CANI,CANI,CANI,CANI,CANI,CANI
505,CAPIRO,CAPIRO,CAPIRO,CAPIRO,CAPIRO,CAPIRO,CAPIRO,CAPIRO,CAPIRO,CAPIRO,CAPIRO,CAPIRO
510,CAP.AUGUSTO RIVAD.,CAP.AUGUSTO RIVAD.,CAP. AUGUSTO RIVADENEIRA,CAP. AUGUSTO RIVADENEIRA,CAP. AUGUSTO RIVADENEIRA,CAP. AUGUSTO RIVADENEIRA,CAP. AUGUSTO RIVADENEIRA,CAP. AUGUSTO RIVADENEIRA,CAP. AUGUSTO RIVADENEIRA,CAP. AUGUSTO RIVADENEIRA,CAP. AUGUSTO RIVADENEIRA,CAP. AUGUSTO RIVADENEIRA
515,CAPZOL,CAPZOL,CAPZOL,CAPZOL,CAPZOL,CAPZOL,CAPZOL,CAPZOL,CAPZOL,CAPZOL,CAPZOL,CAPZOL
520,CARACOL,CARACOL,CARACOL,CARACOL,CARACOL,CARACOL,CARACOL,CARACOL,CARACOL,CARACOL,CARACOL,CARACOL
525,SHIMPIS,SHIMPIS,SHIMPIS,SHIMPIS,SHIMPIS,SHIMPIS,SHIMPIS,SHIMPIS,SHIMPIS,SHIMPIS,SHIMPIS,SHIMPIS
530,CAROLINA/GUALLUPI,CAROLINA/GUALLUPI,CAROLINA /GUALLUPI,CAROLINA /GUALLUPI,CAROLINA /GUALLUPI,CAROLINA /GUALLUPI,CAROLINA /GUALLUPI,CAROLINA /GUALLUPI,CAROLINA /GUALLUPI,CAROLINA /GUALLUPI,CAROLINA /GUALLUPI,CAROLINA /GUALLUPI
535,CARONDELET,CARONDELET,CARONDELET,CARONDELET,CARONDELET,CARONDELET,CARONDELET,CARONDELET,CARONDELET,CARONDELET,CARONDELET,CARONDELET
540,CASCOL,CASCOL,CASCOL,CASCOL,CASCOL,CASCOL,CASCOL,CASCOL,CASCOL,CASCOL,CASCOL,CASCOL
545,SAN ANTONIO,SAN ANTONIO,SAN ANTONIO,SAN ANTONIO,SAN ANTONIO,SAN ANTONIO,SAN ANTONIO,SAN ANTONIO,SAN ANTONIO,SAN ANTONIO,SAN ANTONIO,SAN ANTONIO
550,CAZADEROS,CAZADEROS,CAZADEROS,CAZADEROS,CAZADEROS,MANGAHURCO,MANGAHURCO,MANGAHURCO,MANGAHURCO,MANGAHURCO,MANGAHURCO,MANGAHURCO
555,CEBADAS,CEBADAS,CEBADAS,CEBADAS,CEBADAS,CEBADAS,CEBADAS,CEBADAS,CEBADAS,CEBADAS,CEBADAS,CEBADAS
560,LA UNION,LA UNION,LA UNION,LA UNION,LA UNION,LA UNION,LA UNION,LA UNION,LA UNION,LA UNION,LA UNION,LA UNION
565,CIANO,CIANO,CIANO,CIANO,CIANO,CIANO,CIANO,CIANO,CIANO,CIANO,CIANO,CIANO
570,5 DE JUNIO/HUIMBI,5 DE JUNIO/HUIMBI,5 DE JUNIO/HUIMBI,5 DE JUNIO/HUIMBI,5 DE JUNIO/HUIMBI,5 DE JUNIO/HUIMBI,5 DE JUNIO/HUIMBI,5 DE JUNIO/HUIMBI,5 DE JUNIO/HUIMBI,5 DE JUNIO/HUIMBI,5 DE JUNIO/HUIMBI,5 DE JUNIO/HUIMBI
575,COCHAPATA,COCHAPATA,COCHAPATA,COCHAPATA,COCHAPATA,COCHAPATA,COCHAPATA,COCHAPATA,COCHAPATA,COCHAPATA,COCHAPATA,COCHAPATA
580,COJIMIES,COJIMIES,COJIMIES,COJIMIES,COJIMIES,COJIMIES,COJIMIES,COJIMIES,COJIMIES,COJIMIES,COJIMIES,COJIMIES
585,COJITAMBO,COJITAMBO,COJITAMBO,COJITAMBO,COJITAMBO,COJITAMBO,COJITAMBO,COJITAMBO,COJITAMBO,COJITAMBO,COJITAMBO,COJITAMBO
590,COLAIZACA,COLAIZACA,COLAIZACA,COLAIZACA,COLAIZACA,COLAIZACA,COLAIZACA,COLAIZACA,COLAIZACA,COLAIZACA,COLAIZACA,COLAIZACA
595,HUASAGA/WAMPUIK,HUASAGA/WAMPUIK,HUASAGA /WAMPUIK,HUASAGA /WAMPUIK,HUASAGA /WAMPUIK,HUASAGA /WAMPUIK,HUASAGA /WAMPUIK,HUASAGA /WAMPUIK,HUASAGA /WAMPUIK,HUASAGA /WAMPUIK,HUASAGA /WAMPUIK,HUASAGA /WAMPUIK
